time,fridge,washing_machine,kettle,rice_cooker
2013-02-17 23:39:19,11.25,3.2800000000000002,0.33,2.0300000000000002
2013-02-17 23:39:25,11.07,3.12,0.03,1.01
2013-02-17 23:39:31,11.32,3.3,0.24,1.4
2013-02-17 23:39:37,11.76,3.3,0.2,1.09
2013-02-17 23:39:43,11.12,3.48,0.11,1.34
2013-02-17 23:39:49,11.12,4.02,0.55,1.5899999999999999
2013-02-17 23:39:55,11.79,3.99,1.11,1.69
2013-02-17 23:40:01,11.38,3.31,0.09,1.56
2013-02-17 23:40:07,11.23,3.23,0.04,1.79
2013-02-17 23:40:13,11.27,3.21,0.55,1.11
2013-02-17 23:40:19,11.23,3.26,0.17,1.01
2013-02-17 23:40:25,11.23,3.18,0.52,1.34
2013-02-17 23:40:31,11.12,3.27,0.44,1.23
2013-02-17 23:40:37,11.96,3.06,0.46,1.51
2013-02-17 23:40:43,11.86,3.22,0.39,1.31
2013-02-17 23:40:49,11.28,3.1,0.46,2.16
2013-02-17 23:40:55,11.51,3.61,0.29,1.2
2013-02-17 23:41:01,11.16,3.7199999999999998,0.98,1.1400000000000001
2013-02-17 23:41:07,11.45,3.5300000000000002,0.2,1.47
2013-02-17 23:41:13,11.71,3.26,0.05,1.13
2013-02-17 23:41:19,11.73,3.7800000000000002,0.04,1.25
2013-02-17 23:41:25,11.11,3.15,0.06,1.32
2013-02-17 23:41:31,11.03,3.2,0.09,2.29
2013-02-17 23:41:37,11.71,3.69,0.3,1.46
2013-02-17 23:41:43,11.27,3.19,0.01,1.22
2013-02-17 23:41:49,11.06,3.44,0.5,1.1
2013-02-17 23:41:55,11.58,3.16,0.01,1.88
2013-02-17 23:42:01,11.19,3.07,0.13,1.19
2013-02-17 23:42:07,11.3,3.27,0.68,1.28
2013-02-17 23:42:13,11.15,3.52,0.97,1.21
2013-02-17 23:42:19,11.3,3.75,0.03,1.46
2013-02-17 23:42:25,11.93,3.08,0.8,1.26
2013-02-17 23:42:31,11.01,3.19,0.54,1.17
